index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
1224,205,0.0,245.0,213.1283783783784,0,1,1,0
1226,205,0.0,253.0,226.32091690544414,0,1,1,0
1227,205,0.0,286.0,211.75057736720555,0,1,1,0
1228,205,0.0,282.0,226.32091690544414,0,1,1,0
1229,200,0.0,354.0,408.04664179104475,0,1,1,0
1232,195,0.0,351.0,395.2901069518717,0,1,1,0
1233,200,0.0,390.0,425.8984375,0,1,1,0
1234,200,0.0,359.0,386.3411214953271,0,1,1,0
1236,380,1.0,333.0,361.3519553072626,0,1,1,0
1237,205,0.0,354.0,408.04664179104475,0,1,1,0
1238,520,1.0,432.0,425.8984375,0,1,1,0
1239,200,0.0,193.0,200.2774193548387,0,1,1,0
1240,200,0.0,183.0,200.2774193548387,0,1,1,0
1241,205,0.0,222.0,213.1283783783784,0,1,1,0
1242,205,0.0,234.0,226.32091690544414,0,1,1,0
1243,205,0.0,235.0,211.75057736720555,0,1,1,0
1244,205,0.0,210.0,211.75057736720555,0,1,1,0
1245,195,0.0,289.0,395.2901069518717,0,1,1,0
1246,205,0.0,276.0,226.32091690544414,0,1,1,0
1248,195,0.0,350.0,395.2901069518717,0,1,1,0
1249,200,0.0,354.0,408.04664179104475,0,1,1,0
1250,200,0.0,356.0,386.3411214953271,0,1,1,0
1251,205,0.0,354.0,408.04664179104475,0,1,1,0
1252,200,0.0,372.0,425.8984375,0,1,1,0
1253,205,0.0,362.0,395.2901069518717,0,1,1,0
1255,205,0.0,184.0,211.75057736720555,0,1,1,0
1256,205,0.0,253.0,226.32091690544414,0,1,1,0
1258,205,0.0,281.0,226.32091690544414,0,1,1,0
1259,200,0.0,206.0,200.2774193548387,0,1,1,0
1260,205,0.0,222.0,213.1283783783784,0,1,1,0
1261,205,0.0,286.0,211.75057736720555,0,1,1,0
1265,195,0.0,347.0,395.2901069518717,0,1,1,0
